DATE,CODE,SEC_NAME,EXE_MODE,EXE_PRICE,涨跌额,涨跌幅,成交量,成交额(万),持仓量,行权价,EXE_ENDDATE,持仓量,日增,昨收,今开
2018/9/5,10001323,50ETF沽12月2550,认沽,0.1565,0.0355,29.34%,834,1152115,4669,2.55,2018/12/26 0:00,51,0.121,0.1245,
2018/9/5,10001384,50ETF沽12月2250,认沽,0.0387,0.0116,42.80%,691,234933,6884,2.25,2018/12/26 0:00,-186,0.0271,0.028,
2018/9/5,10001370,50ETF沽12月2350,认沽,0.0667,0.02,42.83%,933,532412,5860,2.35,2018/12/26 0:00,-136,0.0467,0.0488,
2018/9/5,10001325,50ETF沽12月2650,认沽,0.2189,0.0436,24.87%,365,719248,4808,2.65,2018/12/26 0:00,-,0.1753,0.1782,
2018/9/5,10001331,50ETF购12月2450,认购,0.1547,-0.0323,-17.27%,569,975752,3617,2.45,2018/12/26 0:00,71,0.187,0.1831,
2018/9/5,10001360,50ETF沽12月2400,认沽,0.0851,0.0244,40.20%,1640,1251172,7531,2.4,2018/12/26 0:00,375,0.0607,0.0637,
2018/9/5,10001329,50ETF沽12月2850,认沽,0.3688,0.0487,15.21%,578,1962020,2795,2.85,2018/12/26 0:00,-122,0.3201,0.325,
2018/9/5,10001318,50ETF购12月2750,认购,0.0449,-0.0101,-18.36%,816,403401,9764,2.75,2018/12/26 0:00,-69,0.055,0.0536,
2018/9/5,10001377,50ETF购12月2300,认购,0.2499,-0.0426,-14.56%,266,705115,3121,2.3,2018/12/26 0:00,-40,0.2925,0.2876,
2018/9/5,10001321,50ETF购12月2900,认购,0.0209,-0.0057,-21.43%,2065,508679,14731,2.9,2018/12/26 0:00,712,0.0266,0.0248,
2018/9/5,10001332,50ETF沽12月2450,认沽,0.1113,0.0331,42.33%,1984,1882861,6823,2.45,2018/12/26 0:00,184,0.0782,0.0807,
2018/9/5,10001420,50ETF购3月2550,认购,0.1528,-0.0245,-13.82%,293,474056,2604,2.55,2019/3/27 0:00,-18,0.1773,0.171,
2018/9/5,10001424,50ETF购3月2750,认购,0.0825,-0.0149,-15.30%,267,242488,3541,2.75,2019/3/27 0:00,11,0.0974,0.095,
2018/9/5,10001437,50ETF购3月2300,认购,0.2894,-0.0395,-12.01%,439,1335340,3078,2.3,2019/3/27 0:00,285,0.3289,0.3251,
2018/9/5,10001428,50ETF沽3月2500,认沽,0.1635,0.0302,22.66%,246,372259,2008,2.5,2019/3/27 0:00,8,0.1333,0.1371,
2018/9/5,10001417,50ETF购3月2400,认购,0.2289,-0.0334,-12.73%,100,240336,2330,2.4,2019/3/27 0:00,47,0.2623,0.2575,
2018/9/5,10001436,50ETF沽3月2350,认沽,0.0997,0.0208,26.36%,351,315538,3385,2.35,2019/3/27 0:00,-68,0.0789,0.08,
2018/9/5,10001434,50ETF沽3月2800,认沽,0.3534,0.0456,14.81%,267,898210,2916,2.8,2019/3/27 0:00,110,0.3078,0.31,
2018/9/5,10001439,50ETF购3月2250,认购,0.329,-0.0382,-10.40%,98,334914,1875,2.25,2019/3/27 0:00,63,0.3672,0.3624,
2018/9/5,10001425,50ETF购3月2800,认购,0.0696,-0.0114,-14.07%,1456,1111475,7925,2.8,2019/3/27 0:00,-339,0.081,0.0813,
2018/9/5,10001429,50ETF沽3月2550,认沽,0.19,0.0329,20.94%,196,341937,1339,2.55,2019/3/27 0:00,-31,0.1571,0.1606,
2018/9/5,10001422,50ETF购3月2650,认购,0.1128,-0.0225,-16.63%,250,315720,1737,2.65,2019/3/27 0:00,44,0.1353,0.128,
2018/9/5,10001431,50ETF沽3月2650,认沽,0.2499,0.0404,19.28%,187,435802,879,2.65,2019/3/27 0:00,-41,0.2095,0.2176,
2018/9/5,10001419,50ETF购3月2500,认购,0.1751,-0.0285,-14.00%,372,704191,2818,2.5,2019/3/27 0:00,-64,0.2036,0.199,
2018/9/5,10001432,50ETF沽3月2700,认沽,0.281,0.0403,16.74%,98,254853,1867,2.7,2019/3/27 0:00,-26,0.2407,0.2433,
2018/9/5,10001427,50ETF沽3月2450,认沽,0.1398,0.026,22.85%,259,327062,2863,2.45,2019/3/27 0:00,-128,0.1138,0.1166,
2018/9/5,10001438,50ETF沽3月2300,认沽,0.0821,0.0175,27.09%,139,102303,2267,2.3,2019/3/27 0:00,49,0.0646,0.0667,
2018/9/5,10001426,50ETF沽3月2400,认沽,0.1178,0.0235,24.92%,118,127642,4227,2.4,2019/3/27 0:00,11,0.0943,0.095,
2018/9/5,10001423,50ETF购3月2700,认购,0.0965,-0.0176,-15.43%,258,270057,2189,2.7,2019/3/27 0:00,-19,0.1141,0.1086,
2018/9/5,10001442,50ETF沽3月2200,认沽,0.055,0.0127,30.02%,1350,687571,4100,2.2,2019/3/27 0:00,169,0.0423,0.0423,
2018/9/5,10001430,50ETF沽3月2600,认沽,0.2181,0.0352,19.25%,395,796348,2709,2.6,2019/3/27 0:00,5,0.1829,0.1888,
2018/9/5,10001418,50ETF购3月2450,认购,0.2027,-0.0292,-12.59%,385,829245,1719,2.45,2019/3/27 0:00,-100,0.2319,0.2273,
2018/9/5,10001441,50ETF购3月2200,认购,0.3623,-0.0447,-10.98%,530,1994734,1574,2.2,2019/3/27 0:00,20,0.407,0.3985,
2018/9/5,10001433,50ETF沽3月2750,认沽,0.3181,0.0443,16.18%,177,523118,2609,2.75,2019/3/27 0:00,64,0.2738,0.2757,
2018/9/5,10001435,50ETF购3月2350,认购,0.2649,-0.0291,-9.90%,61,166697,714,2.35,2019/3/27 0:00,-3,0.294,0.2897,
2018/9/5,10001421,50ETF购3月2600,认购,0.134,-0.0209,-13.49%,273,390207,3484,2.6,2019/3/27 0:00,-58,0.1549,0.1516,
2018/9/5,10001440,50ETF沽3月2250,认沽,0.0674,0.015,28.63%,457,278318,3926,2.25,2019/3/27 0:00,212,0.0524,0.055,
,,,,,,,,,,,,,,,
2018/9/10,10001245,50ETF沽9月2650,认沽,0.1865,0.0229,14.00%,7333,13110831,14085,2.65,2018/9/26 0:00,45,0.1636,0.1687,
2018/9/10,10001246,50ETF沽9月2700,认沽,0.2313,0.0223,10.67%,4361,9761975,8334,2.7,2018/9/26 0:00,-93,0.209,0.2106,
2018/9/10,10001281,50ETF购9月2500,认购,0.043,-0.0113,-20.81%,117637,54341942,97753,2.5,2018/9/26 0:00,15316,0.0543,0.052,
2018/9/10,10001312,50ETF沽9月2450,认沽,0.045,0.0082,22.28%,121756,52905266,70495,2.45,2018/9/26 0:00,-776,0.0368,0.0375,
2018/9/10,10001243,50ETF购9月2700,认购,0.0031,-0.0018,-36.73%,18651,699009,86762,2.7,2018/9/26 0:00,1203,0.0049,0.0047,
2018/9/10,10001225,50ETF沽9月3300,认沽,0.825,0.016,1.98%,206,1684906,1577,3.3,2018/9/26 0:00,63,0.809,0.8016,
2018/9/10,10001230,50ETF沽9月2850,认沽,0.3732,0.0142,3.96%,1375,5132153,1899,2.85,2018/9/26 0:00,-33,0.359,0.3516,
2018/9/10,10001367,50ETF购9月2350,认购,0.137,-0.0201,-12.79%,13978,19901682,9403,2.35,2018/9/26 0:00,-437,0.1571,0.155,
2018/9/10,10001217,50ETF购9月3400,认购,0.0002,0,0.00%,372,1331,14964,3.4,2018/9/26 0:00,39,0.0002,0.0003,
2018/9/10,10001223,50ETF沽9月3100,认沽,0.6283,0.0193,3.17%,477,2952107,1747,3.1,2018/9/26 0:00,16,0.609,0.6076,
2018/9/10,10001232,50ETF沽9月2800,认沽,0.3275,0.0185,5.99%,1469,4744177,1499,2.8,2018/9/26 0:00,-80,0.309,0.3022,
2018/9/10,10001241,50ETF购9月2600,认购,0.014,-0.0055,-28.21%,54108,8626397,136744,2.6,2018/9/26 0:00,7540,0.0195,0.0191,
2018/9/10,10001218,50ETF购9月3500,认购,0.0002,0,0.00%,272,689,19870,3.5,2018/9/26 0:00,-19,0.0002,0.0003,
2018/9/10,10001220,50ETF沽9月2900,认沽,0.4274,0.0184,4.50%,1070,4512774,1910,2.9,2018/9/26 0:00,129,0.409,0.4081,
2018/9/10,10001222,50ETF沽9月3000,认沽,0.527,0.018,3.54%,803,4190216,1380,3,2018/9/26 0:00,294,0.509,0.5011,
2018/9/10,10001275,50ETF购9月2550,认购,0.0255,-0.0075,-22.73%,74236,20846485,107608,2.55,2018/9/26 0:00,5138,0.033,0.0319,
2018/9/10,10001221,50ETF沽9月2950,认沽,0.4756,0.0166,3.62%,434,2042169,757,2.95,2018/9/26 0:00,32,0.459,0.4513,
2018/9/10,10001233,50ETF购9月2750,认购,0.0015,-0.0005,-25.00%,7539,133557,57626,2.75,2018/9/26 0:00,-600,0.002,0.0019,
2018/9/10,10001358,50ETF沽9月2400,认沽,0.027,0.0049,22.17%,71044,18466517,82982,2.4,2018/9/26 0:00,1936,0.0221,0.0218,
2018/9/10,10001409,50ETF购9月2200,认购,0.2732,-0.0204,-6.95%,1494,4190464,5411,2.2,2018/9/26 0:00,172,0.2936,0.2935,
2018/9/10,10001311,50ETF购9月2450,认购,0.0671,-0.0142,-17.47%,68999,49124376,42849,2.45,2018/9/26 0:00,6898,0.0813,0.0793,
2018/9/10,10001219,50ETF购9月3600,认购,0.0002,0,0.00%,399,943,47635,3.6,2018/9/26 0:00,-14,0.0002,0.0005,
2018/9/10,10001242,50ETF购9月2650,认购,0.0066,-0.0035,-34.65%,35491,2821966,87948,2.65,2018/9/26 0:00,3154,0.0101,0.0096,
2018/9/10,10001211,50ETF购9月2900,认购,0.0006,0,0.00%,1176,5658,26468,2.9,2018/9/26 0:00,-307,0.0006,0.0004,
2018/9/10,10001212,50ETF购9月2950,认购,0.0004,-0.0001,-20.00%,812,2906,15870,2.95,2018/9/26 0:00,-369,0.0005,0.0005,
2018/9/10,10001381,50ETF购9月2250,认购,0.225,-0.0235,-9.46%,1876,4335867,1702,2.25,2018/9/26 0:00,-22,0.2485,0.2457,
2018/9/10,10001357,50ETF购9月2400,认购,0.0989,-0.0176,-15.11%,24505,25435897,23301,2.4,2018/9/26 0:00,1842,0.1165,0.116,
2018/9/10,10001227,50ETF沽9月3500,认沽,1.0244,0.0154,1.53%,253,2576329,1759,3.5,2018/9/26 0:00,-1,1.009,1.0003,
2018/9/10,10001214,50ETF购9月3100,认购,0.0003,0,0.00%,980,3526,17949,3.1,2018/9/26 0:00,-470,0.0003,0.0003,
2018/9/10,10001216,50ETF购9月3300,认购,0.0003,0,0.00%,272,1066,9573,3.3,2018/9/26 0:00,-16,0.0003,0.0004,
2018/9/10,10001226,50ETF沽9月3400,认沽,0.925,0.016,1.76%,320,2943538,1709,3.4,2018/9/26 0:00,151,0.909,0.9072,
2018/9/10,10001213,50ETF购9月3000,认购,0.0004,0,0.00%,786,3217,23652,3,2018/9/26 0:00,-163,0.0004,0.0003,
2018/9/10,10001231,50ETF购9月2800,认购,0.0007,-0.0003,-30.00%,5829,51895,37046,2.8,2018/9/26 0:00,-1728,0.001,0.0009,
2018/9/10,10001368,50ETF沽9月2350,认沽,0.0144,0.0029,25.22%,49196,6878081,76495,2.35,2018/9/26 0:00,3997,0.0115,0.01,
2018/9/10,10001228,50ETF沽9月3600,认沽,1.127,0.018,1.62%,256,2855011,5119,3.6,2018/9/26 0:00,31,1.109,1.1002,
2018/9/10,10001376,50ETF沽9月2300,认沽,0.0077,0.0016,26.23%,24400,1827968,73463,2.3,2018/9/26 0:00,2977,0.0061,0.0061,
2018/9/10,10001229,50ETF购9月2850,认购,0.0007,-0.0002,-22.22%,2130,12042,30894,2.85,2018/9/26 0:00,7,0.0009,0.0004,
2018/9/10,10001276,50ETF沽9月2550,认沽,0.1022,0.0147,16.80%,38127,37630311,43944,2.55,2018/9/26 0:00,-1255,0.0875,0.089,
2018/9/10,10001234,50ETF沽9月2750,认沽,0.2792,0.0202,7.80%,1961,5347041,4427,2.75,2018/9/26 0:00,-16,0.259,0.2583,
2018/9/10,10001244,50ETF沽9月2600,认沽,0.1419,0.0201,16.50%,30071,41360511,40933,2.6,2018/9/26 0:00,-1045,0.1218,0.1259,
2018/9/10,10001215,50ETF购9月3200,认购,0.0003,0,0.00%,266,1069,14551,3.2,2018/9/26 0:00,-1,0.0003,0.0004,
2018/9/10,10001282,50ETF沽9月2500,认沽,0.07,0.0119,20.48%,114059,77686195,58657,2.5,2018/9/26 0:00,-3634,0.0581,0.06,
2018/9/10,10001382,50ETF沽9月2250,认沽,0.0033,0.0002,6.45%,9199,321031,57907,2.25,2018/9/26 0:00,262,0.0031,0.003,
2018/9/10,10001375,50ETF购9月2300,认购,0.1802,-0.0209,-10.39%,4163,7749841,5130,2.3,2018/9/26 0:00,275,0.2011,0.199,
2018/9/10,10001224,50ETF沽9月3200,认沽,0.728,0.019,2.68%,406,2914875,1491,3.2,2018/9/26 0:00,58,0.709,0.7094,
2018/9/10,10001410,50ETF沽9月2200,认沽,0.0021,0.0005,31.25%,3876,71171,46059,2.2,2018/9/26 0:00,156,0.0016,0.0016,
2018/9/10,10001458,50ETF沽10月2600,认沽,0.1595,0.0156,10.84%,3081,4762152,3664,2.6,2018/10/24 0:00,216,0.1439,0.1455,
2018/9/10,10001457,50ETF沽10月2550,认沽,0.1241,0.0131,11.80%,6784,8221164,6273,2.55,2018/10/24 0:00,-586,0.111,0.1149,
2018/9/10,10001454,50ETF沽10月2400,认沽,0.0502,0.0073,17.02%,5671,2767702,7270,2.4,2018/10/24 0:00,518,0.0429,0.044,
2018/9/10,10001462,50ETF沽10月2750,认沽,0.2813,0.0191,7.28%,1050,2906539,1328,2.75,2018/10/24 0:00,42,0.2622,0.2648,
2018/9/10,10001447,50ETF购10月2500,认购,0.0722,-0.01,-12.17%,11233,8465213,12579,2.5,2018/10/24 0:00,2066,0.0822,0.0807,
