,SEC_NAME,EXE_MODE,EXE_PRICE,EXE_ENDDATE,CLOSE
2018/9/5,50ETF购10月2650,认购,2.65,2018/10/24 0:00,0.0292
2018/9/5,50ETF沽10月2700,认沽,2.7,2018/10/24 0:00,0.2228
2018/9/5,50ETF购10月2750,认购,2.75,2018/10/24 0:00,0.0122
2018/9/5,50ETF沽12月2200,认沽,2.2,2018/12/26 0:00,0.0288
2018/9/5,50ETF购12月2250,认购,2.25,2018/12/26 0:00,0.2859
2018/9/5,50ETF购12月2200,认购,2.2,2018/12/26 0:00,0.3254
2018/9/5,50ETF购12月2350,认购,2.35,2018/12/26 0:00,0.2155
2018/9/5,50ETF沽12月2800,认沽,2.8,2018/12/26 0:00,0.333
2018/9/5,50ETF沽12月2900,认沽,2.9,2018/12/26 0:00,0.4183
2018/9/5,50ETF沽12月2500,认沽,2.5,2018/12/26 0:00,0.13
2018/9/5,50ETF购12月2550,认购,2.55,2018/12/26 0:00,0.1074
2018/9/5,50ETF购12月2500,认购,2.5,2018/12/26 0:00,0.1295
2018/9/5,50ETF沽12月2300,认沽,2.3,2018/12/26 0:00,0.0513
2018/9/5,50ETF购12月2400,认购,2.4,2018/12/26 0:00,0.1836
2018/9/5,50ETF沽12月2600,认沽,2.6,2018/12/26 0:00,0.1867
2018/9/5,50ETF沽12月2750,认沽,2.75,2018/12/26 0:00,0.2927
2018/9/5,50ETF沽12月2700,认沽,2.7,2018/12/26 0:00,0.255
2018/9/5,50ETF购12月2700,认购,2.7,2018/12/26 0:00,0.0568
2018/9/5,50ETF购12月2850,认购,2.85,2018/12/26 0:00,0.0275
2018/9/5,50ETF购12月2800,认购,2.8,2018/12/26 0:00,0.0351
2018/9/5,50ETF沽12月2950,认沽,2.95,2018/12/26 0:00,0.461
2018/9/5,50ETF购12月2600,认购,2.6,2018/12/26 0:00,0.0868
2018/9/5,50ETF购12月2650,认购,2.65,2018/12/26 0:00,0.0704
2018/9/5,50ETF购12月2950,认购,2.95,2018/12/26 0:00,0.0153
2018/9/5,50ETF沽12月2550,认沽,2.55,2018/12/26 0:00,0.1565
2018/9/5,50ETF沽12月2250,认沽,2.25,2018/12/26 0:00,0.0387
2018/9/5,50ETF沽12月2350,认沽,2.35,2018/12/26 0:00,0.0667
2018/9/5,50ETF沽12月2650,认沽,2.65,2018/12/26 0:00,0.2189
2018/9/5,50ETF购12月2450,认购,2.45,2018/12/26 0:00,0.1547
2018/9/5,50ETF沽12月2400,认沽,2.4,2018/12/26 0:00,0.0851
2018/9/5,50ETF沽12月2850,认沽,2.85,2018/12/26 0:00,0.3688
2018/9/5,50ETF购12月2750,认购,2.75,2018/12/26 0:00,0.0449
2018/9/5,50ETF购12月2300,认购,2.3,2018/12/26 0:00,0.2499
2018/9/5,50ETF购12月2900,认购,2.9,2018/12/26 0:00,0.0209
2018/9/5,50ETF沽12月2450,认沽,2.45,2018/12/26 0:00,0.1113
2018/9/5,50ETF购3月2550,认购,2.55,2019/3/27 0:00,0.1528
2018/9/5,50ETF购3月2750,认购,2.75,2019/3/27 0:00,0.0825
2018/9/5,50ETF购3月2300,认购,2.3,2019/3/27 0:00,0.2894
2018/9/5,50ETF沽3月2500,认沽,2.5,2019/3/27 0:00,0.1635
2018/9/5,50ETF购3月2400,认购,2.4,2019/3/27 0:00,0.2289
2018/9/5,50ETF沽3月2350,认沽,2.35,2019/3/27 0:00,0.0997
2018/9/5,50ETF沽3月2800,认沽,2.8,2019/3/27 0:00,0.3534
2018/9/5,50ETF购3月2250,认购,2.25,2019/3/27 0:00,0.329
2018/9/5,50ETF购3月2800,认购,2.8,2019/3/27 0:00,0.0696
2018/9/5,50ETF沽3月2550,认沽,2.55,2019/3/27 0:00,0.19
2018/9/5,50ETF购3月2650,认购,2.65,2019/3/27 0:00,0.1128
2018/9/5,50ETF沽3月2650,认沽,2.65,2019/3/27 0:00,0.2499
2018/9/5,50ETF购3月2500,认购,2.5,2019/3/27 0:00,0.1751
2018/9/5,50ETF沽3月2700,认沽,2.7,2019/3/27 0:00,0.281
2018/9/5,50ETF沽3月2450,认沽,2.45,2019/3/27 0:00,0.1398
2018/9/5,50ETF沽3月2300,认沽,2.3,2019/3/27 0:00,0.0821
2018/9/5,50ETF沽3月2400,认沽,2.4,2019/3/27 0:00,0.1178
2018/9/5,50ETF购3月2700,认购,2.7,2019/3/27 0:00,0.0965
2018/9/5,50ETF沽3月2200,认沽,2.2,2019/3/27 0:00,0.055
2018/9/5,50ETF沽3月2600,认沽,2.6,2019/3/27 0:00,0.2181
2018/9/5,50ETF购3月2450,认购,2.45,2019/3/27 0:00,0.2027
2018/9/5,50ETF购3月2200,认购,2.2,2019/3/27 0:00,0.3623
2018/9/5,50ETF沽3月2750,认沽,2.75,2019/3/27 0:00,0.3181
2018/9/5,50ETF购3月2350,认购,2.35,2019/3/27 0:00,0.2649
2018/9/5,50ETF购3月2600,认购,2.6,2019/3/27 0:00,0.134
2018/9/5,50ETF沽3月2250,认沽,2.25,2019/3/27 0:00,0.0674
2018/9/6,50ETF购9月2800,认购,2.8,2018/9/26 0:00,0.001
2018/9/6,50ETF购9月3300,认购,3.3,2018/9/26 0:00,0.0002
2018/9/6,50ETF购9月3500,认购,3.5,2018/9/26 0:00,0.0002
2018/9/6,50ETF沽9月2650,认沽,2.65,2018/9/26 0:00,0.1867
2018/9/6,50ETF购9月3200,认购,3.2,2018/9/26 0:00,0.0003
2018/9/6,50ETF购9月2400,认购,2.4,2018/9/26 0:00,0.1015
2018/9/6,50ETF沽9月2850,认沽,2.85,2018/9/26 0:00,0.3748
2018/9/6,50ETF沽9月3400,认沽,3.4,2018/9/26 0:00,0.9287
2018/9/6,50ETF沽9月2450,认沽,2.45,2018/9/26 0:00,0.0484
2018/9/6,50ETF购9月2200,认购,2.2,2018/9/26 0:00,0.272
2018/9/6,50ETF沽9月2350,认沽,2.35,2018/9/26 0:00,0.0157
2018/9/6,50ETF购9月2350,认购,2.35,2018/9/26 0:00,0.1364
2018/9/6,50ETF购9月2300,认购,2.3,2018/9/26 0:00,0.1798
2018/9/6,50ETF购9月3000,认购,3,2018/9/26 0:00,0.0004
2018/9/6,50ETF沽9月2750,认沽,2.75,2018/9/26 0:00,0.2804
2018/9/6,50ETF购9月2550,认购,2.55,2018/9/26 0:00,0.0279
2018/9/6,50ETF沽9月3300,认沽,3.3,2018/9/26 0:00,0.829
2018/9/6,50ETF购9月2950,认购,2.95,2018/9/26 0:00,0.0006
2018/9/6,50ETF沽9月2700,认沽,2.7,2018/9/26 0:00,0.2334
2018/9/6,50ETF购9月2900,认购,2.9,2018/9/26 0:00,0.0006
2018/9/6,50ETF沽9月2600,认沽,2.6,2018/9/26 0:00,0.1453
2018/9/6,50ETF沽9月2950,认沽,2.95,2018/9/26 0:00,0.4669
2018/9/6,50ETF沽9月2250,认沽,2.25,2018/9/26 0:00,0.0045
2018/9/6,50ETF购9月2850,认购,2.85,2018/9/26 0:00,0.0008
2018/9/6,50ETF沽9月3100,认沽,3.1,2018/9/26 0:00,0.6296
2018/9/6,50ETF购9月2750,认购,2.75,2018/9/26 0:00,0.0022
2018/9/6,50ETF购9月3600,认购,3.6,2018/9/26 0:00,0.0003
2018/9/6,50ETF沽9月2300,认沽,2.3,2018/9/26 0:00,0.0089
2018/9/6,50ETF沽9月2800,认沽,2.8,2018/9/26 0:00,0.3272
2018/9/6,50ETF沽9月2200,认沽,2.2,2018/9/26 0:00,0.002
2018/9/6,50ETF购9月2500,认购,2.5,2018/9/26 0:00,0.0455
2018/9/6,50ETF购9月2650,认购,2.65,2018/9/26 0:00,0.0088
2018/9/6,50ETF沽9月2900,认沽,2.9,2018/9/26 0:00,0.4277
2018/9/6,50ETF购9月2450,认购,2.45,2018/9/26 0:00,0.0692
2018/9/6,50ETF沽9月2550,认沽,2.55,2018/9/26 0:00,0.1067
2018/9/6,50ETF购9月3100,认购,3.1,2018/9/26 0:00,0.0004
2018/9/6,50ETF沽9月3200,认沽,3.2,2018/9/26 0:00,0.7283
2018/9/6,50ETF沽9月3600,认沽,3.6,2018/9/26 0:00,1.1225
